"network","p","m","n","epoch","df_correction_method","mean_lambda","mean_df","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,100,500,9,"reiter",0.0205116174933092,491.978569293814,0.9,1,0.962264150943396,2,8
"ecoli",46,100,500,10,"old",0.0221725771072535,2403181.1977299,0.9,0.981481481481482,1,1,11
"ecoli",46,100,500,10,"br",0.0221833804263647,481.005435310289,0.9,0.981481481481482,1,1,11
"ecoli",46,100,500,10,"reiter",0.0221833804263647,491.502525651063,0.9,0.981481481481482,1,1,11
"ecoli",46,100,100,1,"old",0.00232188768906559,Inf,0.1,1,1,0,0
"ecoli",46,100,100,1,"br",0.00236906246368118,94.0160413231737,0.1,1,1,0,0
"ecoli",46,100,100,1,"reiter",0.00236906246368118,94.2275838951324,0.1,1,1,0,0
"ecoli",46,100,100,2,"old",0.00228305144651357,Inf,0.1,1,1,0,0
"ecoli",46,100,100,2,"br",0.0022896595345684,94.047899175474,0.1,1,1,0,0
"ecoli",46,100,100,2,"reiter",0.0022896595345684,94.2521059491395,0.1,1,1,0,0
"ecoli",46,100,100,3,"old",0.00559636193456947,Inf,0.1,1,1,0,0
"ecoli",46,100,100,3,"br",0.0055901407825955,93.6677170529667,0.1,1,1,0,0
"ecoli",46,100,100,3,"reiter",0.0055901407825955,94.1641155910188,0.1,1,1,0,0
"ecoli",46,100,100,4,"old",0.00371313691641948,Inf,0.1,1,1,0,0
"ecoli",46,100,100,4,"br",0.00371539516977667,93.8812470843306,0.1,1,1,0,0
"ecoli",46,100,100,4,"reiter",0.00371539516977667,94.2134888594181,0.1,1,1,0,0
"ecoli",46,100,100,5,"old",0.005506767974361,Inf,0.1,1,1,0,0
"ecoli",46,100,100,5,"br",0.00551456354693825,93.5958112300081,0.1,1,1,0,0
"ecoli",46,100,100,5,"reiter",0.00551456354693825,94.0867632378701,0.1,1,1,0,0
"ecoli",46,100,100,6,"old",0.00508416179961694,Inf,0.1,1,1,0,0
"ecoli",46,100,100,6,"br",0.00509967915081085,93.7349398498632,0.1,1,1,0,0
"ecoli",46,100,100,6,"reiter",0.00509967915081085,94.1868983491288,0.1,1,1,0,0
"ecoli",46,100,100,7,"old",0.00461541657215416,Inf,0.1,1,1,0,0
"ecoli",46,100,100,7,"br",0.00460970953159331,93.7979611331112,0.1,1,1,0,0
"ecoli",46,100,100,7,"reiter",0.00460970953159331,94.2097854536405,0.1,1,1,0,0
"ecoli",46,100,100,8,"old",0.00251104922459829,Inf,0.1,1,1,0,0
"ecoli",46,100,100,8,"br",0.00251543953517268,93.9615216699161,0.1,0.975609756097561,1,1,2
"ecoli",46,100,100,8,"reiter",0.00251543953517268,94.1838828727043,0.1,0.975609756097561,1,1,2
"ecoli",46,100,100,9,"old",0.0039099562365272,Inf,0.1,1,1,0,0
"ecoli",46,100,100,9,"br",0.00392736824696451,93.6742515952539,0.1,1,1,0,0
"ecoli",46,100,100,9,"reiter",0.00392736824696451,94.0229394140998,0.1,1,1,0,0
"ecoli",46,100,100,10,"old",0.00256392366160315,Inf,0.1,0.974358974358974,1,1,1
"ecoli",46,100,100,10,"br",0.00257209479863329,93.8090620724802,0.1,0.974358974358974,1,1,1
"ecoli",46,100,100,10,"reiter",0.00257209479863329,94.039186143713,0.1,0.974358974358974,1,1,1
"ecoli",46,100,100,1,"old",0.0270773914891074,Inf,0.5,0.926829268292683,1,3,6
"ecoli",46,100,100,1,"br",0.0273655849176216,91.5254795216149,0.5,0.926829268292683,1,3,6
