"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"3",33,100,100,NA,"old",NA,0.975903614457831,0.964285714285714,5,84,83
"4",33,1000,100,NA,"old",NA,0.975903614457831,0.964285714285714,5,84,83
"6",33,10,100,NA,"old",NA,1,0.977777777777778,2,90,88
"7",33,100,100,NA,"old",NA,1,0.98876404494382,1,89,88
"8",33,1000,100,NA,"old",NA,1,0.98876404494382,1,89,88
"10",33,10,100,NA,"old",NA,0.954545454545455,0.96551724137931,7,87,88
"11",33,100,100,NA,"old",NA,0.977272727272727,0.966292134831461,5,89,88
"12",33,1000,100,NA,"old",NA,0.977272727272727,0.966292134831461,5,89,88
"14",33,10,100,NA,"old",NA,0.941860465116279,0.964285714285714,8,84,86
"15",33,100,100,NA,"old",NA,0.953488372093023,0.976190476190476,6,84,86
"16",33,1000,100,NA,"old",NA,0.953488372093023,0.964705882352941,7,85,86
"18",33,10,100,NA,"old",NA,0.941860465116279,0.964285714285714,8,84,86
"19",33,100,100,NA,"old",NA,0.953488372093023,0.976190476190476,6,84,86
"20",33,1000,100,NA,"old",NA,0.953488372093023,0.976190476190476,6,84,86
"22",33,10,100,NA,"old",NA,0.965909090909091,0.944444444444444,8,90,88
"23",33,100,100,NA,"old",NA,0.965909090909091,0.955056179775281,7,89,88
"24",33,1000,100,NA,"old",NA,0.965909090909091,0.955056179775281,7,89,88
"26",33,10,100,NA,"old",NA,0.930232558139535,0.952380952380952,10,84,86
"27",33,100,100,NA,"old",NA,0.941860465116279,0.931034482758621,11,87,86
"28",33,1000,100,NA,"old",NA,0.930232558139535,0.930232558139535,12,86,86
"30",33,10,100,NA,"old",NA,0.953488372093023,0.976190476190476,6,84,86
"31",33,100,100,NA,"old",NA,0.965116279069767,0.976470588235294,5,85,86
"32",33,1000,100,NA,"old",NA,0.965116279069767,0.976470588235294,5,85,86
"34",33,10,100,NA,"old",NA,0.975903614457831,0.975903614457831,4,83,83
"35",33,100,100,NA,"old",NA,0.975903614457831,0.975903614457831,4,83,83
"36",33,1000,100,NA,"old",NA,0.975903614457831,0.975903614457831,4,83,83
"38",33,10,100,NA,"old",NA,1,0.939024390243902,5,82,77
"39",33,100,100,NA,"old",NA,1,0.950617283950617,4,81,77
"40",33,1000,100,NA,"old",NA,1,0.950617283950617,4,81,77
"42",33,10,100,NA,"old",NA,0.972602739726027,0.986111111111111,3,72,73
"43",33,100,100,NA,"old",NA,0.972602739726027,0.986111111111111,3,72,73
"44",33,1000,100,NA,"old",NA,0.986301369863014,0.986301369863014,2,73,73
"46",33,10,100,NA,"old",NA,0.9625,0.974683544303797,5,79,80
"47",33,100,100,NA,"old",NA,0.95,0.974358974358974,6,78,80
"48",33,1000,100,NA,"old",NA,0.95,0.974358974358974,6,78,80
"50",33,10,100,NA,"old",NA,0.972972972972973,0.972972972972973,4,74,74
"51",33,100,100,NA,"old",NA,0.959459459459459,0.986111111111111,4,72,74
"52",33,1000,100,NA,"old",NA,0.959459459459459,0.986111111111111,4,72,74
"54",33,10,100,NA,"old",NA,1,0.932584269662921,6,89,83
"55",33,100,100,NA,"old",NA,1,0.932584269662921,6,89,83
"56",33,1000,100,NA,"old",NA,1,0.932584269662921,6,89,83
"58",33,10,100,NA,"old",NA,0.952380952380952,0.975609756097561,6,82,84
"59",33,100,100,NA,"old",NA,0.94047619047619,0.9875,6,80,84
"60",33,1000,100,NA,"old",NA,0.94047619047619,0.9875,6,80,84
"62",33,10,100,NA,"old",NA,0.963414634146341,0.951807228915663,7,83,82
"63",33,100,100,NA,"old",NA,0.963414634146341,0.951807228915663,7,83,82
"64",33,1000,100,NA,"old",NA,0.963414634146341,0.951807228915663,7,83,82
"66",33,10,100,NA,"old",NA,0.978021978021978,0.967391304347826,5,92,91
"67",33,100,100,NA,"old",NA,0.978021978021978,0.978021978021978,4,91,91
"68",33,1000,100,NA,"old",NA,0.989010989010989,0.978260869565217,3,92,91
"70",33,10,100,NA,"old",NA,0.961038961038961,1,3,74,77
"71",33,100,100,NA,"old",NA,0.961038961038961,1,3,74,77
"72",33,1000,100,NA,"old",NA,0.961038961038961,1,3,74,77
"74",33,10,100,NA,"old",NA,0.979166666666667,0.989473684210526,3,95,96
"75",33,100,100,NA,"old",NA,0.96875,1,3,93,96
"76",33,1000,100,NA,"old",NA,0.96875,1,3,93,96
"78",33,10,100,NA,"old",NA,1,0.978021978021978,2,91,89
"79",33,100,100,NA,"old",NA,1,0.978021978021978,2,91,89
"80",33,1000,100,NA,"old",NA,1,0.978021978021978,2,91,89
"82",33,10,100,NA,"old",NA,0.987012987012987,0.974358974358974,3,78,77
"83",33,100,100,NA,"old",NA,0.987012987012987,0.962025316455696,4,79,77
"84",33,1000,100,NA,"old",NA,0.987012987012987,0.974358974358974,3,78,77
"86",33,10,100,NA,"old",NA,0.960526315789474,0.960526315789474,6,76,76
"87",33,100,100,NA,"old",NA,0.973684210526316,0.973684210526316,4,76,76
"88",33,1000,100,NA,"old",NA,0.973684210526316,0.973684210526316,4,76,76
"90",33,10,100,NA,"old",NA,0.989247311827957,0.989247311827957,2,93,93
"91",33,100,100,NA,"old",NA,0.978494623655914,0.989130434782609,3,92,93
"92",33,1000,100,NA,"old",NA,0.978494623655914,0.978494623655914,4,93,93
"94",33,10,100,NA,"old",NA,0.959459459459459,0.934210526315789,8,76,74
"95",33,100,100,NA,"old",NA,0.959459459459459,0.922077922077922,9,77,74
"96",33,1000,100,NA,"old",NA,0.959459459459459,0.946666666666667,7,75,74
"98",33,10,100,NA,"old",NA,0.936170212765957,0.977777777777778,8,90,94
"99",33,100,100,NA,"old",NA,0.936170212765957,0.977777777777778,8,90,94
"100",33,1000,100,NA,"old",NA,0.936170212765957,0.977777777777778,8,90,94
"102",33,10,100,NA,"old",NA,0.967741935483871,0.957446808510638,7,94,93
"103",33,100,100,NA,"old",NA,0.967741935483871,0.978260869565217,5,92,93
"104",33,1000,100,NA,"old",NA,0.967741935483871,0.978260869565217,5,92,93
"106",33,10,100,NA,"old",NA,0.954545454545455,0.976744186046512,6,86,88
"107",33,100,100,NA,"old",NA,0.965909090909091,0.977011494252874,5,87,88
"108",33,1000,100,NA,"old",NA,0.954545454545455,0.976744186046512,6,86,88
"110",33,10,100,NA,"old",NA,0.976190476190476,0.976190476190476,4,84,84
"111",33,100,100,NA,"old",NA,0.964285714285714,0.975903614457831,5,83,84
"112",33,1000,100,NA,"old",NA,0.964285714285714,0.975903614457831,5,83,84
"114",33,10,100,NA,"old",NA,0.977777777777778,1,2,88,90
"115",33,100,100,NA,"old",NA,0.977777777777778,0.98876404494382,3,89,90
"116",33,1000,100,NA,"old",NA,0.977777777777778,0.98876404494382,3,89,90
"118",33,10,100,NA,"old",NA,0.944444444444444,0.955056179775281,9,89,90
"119",33,100,100,NA,"old",NA,0.944444444444444,0.955056179775281,9,89,90
"120",33,1000,100,NA,"old",NA,0.944444444444444,0.955056179775281,9,89,90
"122",33,10,100,NA,"old",NA,0.978494623655914,1,2,91,93
"123",33,100,100,NA,"old",NA,0.978494623655914,1,2,91,93
"124",33,1000,100,NA,"old",NA,0.978494623655914,1,2,91,93
"126",33,10,100,NA,"old",NA,1,0.986842105263158,1,76,75
"127",33,100,100,NA,"old",NA,1,0.974025974025974,2,77,75
"128",33,1000,100,NA,"old",NA,1,0.986842105263158,1,76,75
"130",33,10,100,NA,"old",NA,0.978021978021978,0.956989247311828,6,93,91
"131",33,100,100,NA,"old",NA,0.978021978021978,0.956989247311828,6,93,91
"132",33,1000,100,NA,"old",NA,0.978021978021978,0.956989247311828,6,93,91
"134",33,10,100,NA,"old",NA,0.979166666666667,0.979166666666667,4,96,96
"135",33,100,100,NA,"old",NA,0.958333333333333,0.968421052631579,7,95,96
"136",33,1000,100,NA,"old",NA,0.958333333333333,0.968421052631579,7,95,96
