"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"94",33,10,3000,NA,"br",NA,0.987341772151899,0.962962962962963,4,81,79
"95",33,100,3000,NA,"br",NA,0.974683544303797,0.9625,5,80,79
"96",33,1000,3000,NA,"br",NA,0.974683544303797,0.974683544303797,4,79,79
"97",33,1,3000,NA,NA,NA,0.969072164948454,0.930693069306931,10,101,97
"98",33,10,3000,NA,"br",NA,0.958762886597938,0.958762886597938,8,97,97
"99",33,100,3000,NA,"br",NA,0.958762886597938,0.958762886597938,8,97,97
"100",33,1000,3000,NA,"br",NA,0.958762886597938,0.978947368421053,6,95,97
"101",33,1,3000,NA,NA,NA,0.939393939393939,0.96875,9,96,99
"102",33,10,3000,NA,"br",NA,0.95959595959596,0.95959595959596,8,99,99
"103",33,100,3000,NA,"br",NA,0.96969696969697,0.979591836734694,5,98,99
"104",33,1000,3000,NA,"br",NA,0.95959595959596,0.979381443298969,6,97,99
"105",33,1,3000,NA,NA,NA,0.966666666666667,0.90625,12,96,90
"106",33,10,3000,NA,"br",NA,0.966666666666667,0.97752808988764,5,89,90
"107",33,100,3000,NA,"br",NA,0.966666666666667,0.97752808988764,5,89,90
"108",33,1000,3000,NA,"br",NA,0.966666666666667,0.97752808988764,5,89,90
"109",33,1,3000,NA,NA,NA,0.976744186046512,0.943820224719101,7,89,86
"110",33,10,3000,NA,"br",NA,0.965116279069767,0.954022988505747,7,87,86
"111",33,100,3000,NA,"br",NA,0.965116279069767,0.954022988505747,7,87,86
"112",33,1000,3000,NA,"br",NA,0.965116279069767,0.954022988505747,7,87,86
"113",33,1,3000,NA,NA,NA,0.978494623655914,0.919191919191919,10,99,93
"114",33,10,3000,NA,"br",NA,0.967741935483871,0.978260869565217,5,92,93
"115",33,100,3000,NA,"br",NA,0.967741935483871,0.989010989010989,4,91,93
"116",33,1000,3000,NA,"br",NA,0.967741935483871,0.978260869565217,5,92,93
"117",33,1,3000,NA,NA,NA,0.967741935483871,0.927835051546392,10,97,93
"118",33,10,3000,NA,"br",NA,0.924731182795699,0.955555555555556,11,90,93
"119",33,100,3000,NA,"br",NA,0.956989247311828,0.956989247311828,8,93,93
"120",33,1000,3000,NA,"br",NA,0.956989247311828,0.956989247311828,8,93,93
"121",33,1,3000,NA,NA,NA,0.969072164948454,0.94,9,100,97
"122",33,10,3000,NA,"br",NA,0.969072164948454,0.979166666666667,5,96,97
"123",33,100,3000,NA,"br",NA,0.989690721649485,0.989690721649485,2,97,97
"124",33,1000,3000,NA,"br",NA,0.989690721649485,0.989690721649485,2,97,97
"125",33,1,3000,NA,NA,NA,0.974683544303797,0.927710843373494,8,83,79
"126",33,10,3000,NA,"br",NA,0.962025316455696,0.987012987012987,4,77,79
"127",33,100,3000,NA,"br",NA,0.962025316455696,0.974358974358974,5,78,79
"128",33,1000,3000,NA,"br",NA,0.962025316455696,0.987012987012987,4,77,79
"129",33,1,3000,NA,NA,NA,0.958333333333333,0.929292929292929,11,99,96
"130",33,10,3000,NA,"br",NA,0.958333333333333,0.948453608247423,9,97,96
"131",33,100,3000,NA,"br",NA,0.958333333333333,0.948453608247423,9,97,96
"132",33,1000,3000,NA,"br",NA,0.958333333333333,0.948453608247423,9,97,96
"133",33,1,3000,NA,NA,NA,0.940594059405941,0.940594059405941,12,101,101
"134",33,10,3000,NA,"br",NA,0.95049504950495,0.96969696969697,8,99,101
"135",33,100,3000,NA,"br",NA,0.98019801980198,0.970588235294118,5,102,101
"136",33,1000,3000,NA,"br",NA,0.97029702970297,0.97029702970297,6,101,101
"137",33,1,3000,NA,NA,NA,1,0.92156862745098,8,102,94
"138",33,10,3000,NA,"br",NA,0.98936170212766,0.958762886597938,5,97,94
"139",33,100,3000,NA,"br",NA,0.98936170212766,0.958762886597938,5,97,94
"140",33,1000,3000,NA,"br",NA,0.98936170212766,0.958762886597938,5,97,94
"141",33,1,3000,NA,NA,NA,0.965909090909091,0.944444444444444,8,90,88
"142",33,10,3000,NA,"br",NA,0.977272727272727,0.977272727272727,4,88,88
"143",33,100,3000,NA,"br",NA,0.977272727272727,0.977272727272727,4,88,88
"144",33,1000,3000,NA,"br",NA,0.977272727272727,0.977272727272727,4,88,88
"145",33,1,3000,NA,NA,NA,0.951219512195122,0.917647058823529,11,85,82
"146",33,10,3000,NA,"br",NA,0.975609756097561,0.941176470588235,7,85,82
"147",33,100,3000,NA,"br",NA,0.975609756097561,0.952380952380952,6,84,82
"148",33,1000,3000,NA,"br",NA,0.975609756097561,0.952380952380952,6,84,82
"149",33,1,3000,NA,NA,NA,0.986842105263158,0.914634146341463,8,82,76
"150",33,10,3000,NA,"br",NA,1,0.95,4,80,76
"151",33,100,3000,NA,"br",NA,0.986842105263158,0.974025974025974,3,77,76
"152",33,1000,3000,NA,"br",NA,0.973684210526316,0.961038961038961,5,77,76
"153",33,1,3000,NA,NA,NA,0.944444444444444,0.923913043478261,12,92,90
"154",33,10,3000,NA,"br",NA,0.944444444444444,0.988372093023256,6,86,90
"155",33,100,3000,NA,"br",NA,0.944444444444444,0.988372093023256,6,86,90
"156",33,1000,3000,NA,"br",NA,0.955555555555556,0.988505747126437,5,87,90
"157",33,1,3000,NA,NA,NA,0.968085106382979,0.928571428571429,10,98,94
"158",33,10,3000,NA,"br",NA,0.978723404255319,0.948453608247423,7,97,94
"159",33,100,3000,NA,"br",NA,0.978723404255319,0.938775510204082,8,98,94
"160",33,1000,3000,NA,"br",NA,0.98936170212766,0.948979591836735,6,98,94
"161",33,1,3000,NA,NA,NA,0.948979591836735,0.948979591836735,10,98,98
"162",33,10,3000,NA,"br",NA,0.959183673469388,0.979166666666667,6,96,98
"163",33,100,3000,NA,"br",NA,0.969387755102041,0.979381443298969,5,97,98
