"","p","m","alpha","run_time"
"272",100,100,0.01,0.0384657382965088
"273",100,100,0.01,0.0392825603485107
"274",100,100,0.01,0.0513420104980469
"275",100,100,0.01,0.0376598834991455
"276",100,100,0.01,0.0381741523742676
"277",100,100,0.01,0.0386595726013184
"278",100,100,0.01,0.0380852222442627
"279",100,100,0.01,0.0386953353881836
"280",100,100,0.01,0.0384178161621094
"281",100,100,0.01,0.0384809970855713
"282",100,100,0.01,0.0497367382049561
"283",100,100,0.01,0.0374336242675781
"284",100,100,0.01,0.0393922328948975
"285",100,100,0.01,0.0380711555480957
"286",100,100,0.01,0.0388448238372803
"287",100,100,0.01,0.0382940769195557
"288",100,100,0.01,0.0394036769866943
"289",100,100,0.01,0.0539898872375488
"290",100,100,0.01,0.0384478569030762
"291",100,100,0.01,0.0376439094543457
"292",100,100,0.01,0.0390253067016602
"293",100,100,0.01,0.0390670299530029
"294",100,100,0.01,0.038069486618042
"295",100,100,0.01,0.238432168960571
"296",100,100,0.01,0.038358211517334
"297",100,100,0.01,0.0388431549072266
"298",100,100,0.01,0.0439498424530029
"299",100,100,0.01,0.0500266551971436
"300",100,100,0.01,0.0488073825836182
"301",100,1000,0.01,0.439049482345581
"302",100,1000,0.01,0.284672975540161
"303",100,1000,0.01,0.314471006393433
"304",100,1000,0.01,0.445746898651123
"305",100,1000,0.01,0.288529396057129
"306",100,1000,0.01,0.304863929748535
"307",100,1000,0.01,0.321682691574097
"308",100,1000,0.01,0.31791090965271
"309",100,1000,0.01,0.291372060775757
"310",100,1000,0.01,0.314905166625977
"311",100,1000,0.01,0.313964366912842
"312",100,1000,0.01,0.465111255645752
"313",100,1000,0.01,0.29984450340271
"314",100,1000,0.01,0.457711458206177
"315",100,1000,0.01,0.258951425552368
"316",100,1000,0.01,0.2986741065979
"317",100,1000,0.01,0.45861554145813
"318",100,1000,0.01,0.299002408981323
"319",100,1000,0.01,0.325759172439575
"320",100,1000,0.01,0.458093881607056
"321",100,1000,0.01,0.262080192565918
"322",100,1000,0.01,0.299571752548218
"323",100,1000,0.01,0.443548440933228
"324",100,1000,0.01,0.297112226486206
"325",100,1000,0.01,0.315310955047607
"326",100,1000,0.01,0.286755323410034
"327",100,1000,0.01,0.307995796203613
"328",100,1000,0.01,0.464111566543579
"329",100,1000,0.01,0.297877788543701
"330",100,1000,0.01,0.330292224884033
"331",100,1000,0.01,0.470530986785889
"332",100,1000,0.01,0.269719839096069
"333",100,1000,0.01,0.437449216842651
"334",100,1000,0.01,0.300525426864624
"335",100,1000,0.01,0.312394380569458
"336",100,1000,0.01,0.258335113525391
"337",100,1000,0.01,0.29780387878418
"338",100,1000,0.01,0.451639175415039
