"","p","m","alpha","run_time"
"948",10,100,0.1,0.0311634540557861
"949",10,100,0.1,0.0309498310089111
"950",10,100,0.1,0.0308277606964111
"951",10,1000,0.1,0.266918420791626
"952",10,1000,0.1,0.265892505645752
"953",10,1000,0.1,0.266309261322021
"954",10,1000,0.1,0.266746044158936
"955",10,1000,0.1,0.267980337142944
"956",10,1000,0.1,0.267573118209839
"957",10,1000,0.1,0.273186922073364
"958",10,1000,0.1,0.267959833145142
"959",10,1000,0.1,0.270560741424561
"960",10,1000,0.1,0.264896631240845
