"network","p","m","n","epoch","df_correction_method","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,100,25,2,"old",0.9,0.439024390243902,0.642857142857143,17,17
"ecoli",46,100,25,2,"br",0.9,0.341463414634146,0.5,21,21
"ecoli",46,100,25,2,"reiter",0.9,0.341463414634146,0.5,21,21
"ecoli",46,100,25,3,"old",0.9,0.44,0.733333333333333,18,20
"ecoli",46,100,25,3,"br",0.9,0.42,0.7,20,22
"ecoli",46,100,25,3,"reiter",0.9,0.44,0.6875,19,21
"ecoli",46,100,25,4,"old",0.9,0.533333333333333,0.857142857142857,14,16
"ecoli",46,100,25,4,"br",0.9,0.488888888888889,0.916666666666667,16,16
"ecoli",46,100,25,4,"reiter",0.9,0.488888888888889,0.916666666666667,16,16
"ecoli",46,100,25,5,"old",0.9,0.317073170731707,0.65,19,21
"ecoli",46,100,25,5,"br",0.9,0.317073170731707,0.541666666666667,21,23
"ecoli",46,100,25,5,"reiter",0.9,0.317073170731707,0.65,19,21
"ecoli",46,100,25,6,"old",0.9,0.340909090909091,0.625,21,23
"ecoli",46,100,25,6,"br",0.9,0.272727272727273,0.545454545454545,24,25
"ecoli",46,100,25,6,"reiter",0.9,0.272727272727273,0.545454545454545,24,25
"ecoli",46,100,25,7,"old",0.9,0.285714285714286,0.5,20,21
"ecoli",46,100,25,7,"br",0.9,0.261904761904762,0.392857142857143,24,24
"ecoli",46,100,25,7,"reiter",0.9,0.261904761904762,0.423076923076923,23,23
"ecoli",46,100,25,8,"old",0.9,0.575,0.676470588235294,15,18
"ecoli",46,100,25,8,"br",0.9,0.575,0.638888888888889,16,19
"ecoli",46,100,25,8,"reiter",0.9,0.575,0.638888888888889,16,19
"ecoli",46,100,25,9,"old",0.9,0.319148936170213,0.576923076923077,21,23
"ecoli",46,100,25,9,"br",0.9,0.319148936170213,0.576923076923077,21,23
"ecoli",46,100,25,9,"reiter",0.9,0.319148936170213,0.625,20,22
"ecoli",46,100,25,10,"old",0.9,0.56,0.777777777777778,16,22
"ecoli",46,100,25,10,"br",0.9,0.48,0.705882352941177,19,23
"ecoli",46,100,25,10,"reiter",0.9,0.48,0.705882352941177,19,23
"ecoli",46,10,1000,1,"old",0.1,1,0.758928571428571,1,3
"ecoli",46,10,1000,1,"br",0.1,1,0.758928571428571,1,3
"ecoli",46,10,1000,1,"reiter",0.1,1,0.758928571428571,1,1
"ecoli",46,10,1000,2,"old",0.1,1,0.810344827586207,1,3
"ecoli",46,10,1000,2,"br",0.1,1,0.810344827586207,1,3
"ecoli",46,10,1000,2,"reiter",0.1,1,0.810344827586207,1,3
"ecoli",46,10,1000,3,"old",0.1,0.988235294117647,0.711864406779661,3,14
"ecoli",46,10,1000,3,"br",0.1,0.988235294117647,0.711864406779661,3,21
"ecoli",46,10,1000,3,"reiter",0.1,0.988235294117647,0.711864406779661,3,21
"ecoli",46,10,1000,4,"old",0.1,1,0.861111111111111,0,1
"ecoli",46,10,1000,4,"br",0.1,1,0.861111111111111,0,0
"ecoli",46,10,1000,4,"reiter",0.1,1,0.861111111111111,0,1
"ecoli",46,10,1000,5,"old",0.1,0.987951807228916,0.732142857142857,1,5
"ecoli",46,10,1000,5,"br",0.1,0.987951807228916,0.732142857142857,1,5
"ecoli",46,10,1000,5,"reiter",0.1,0.987951807228916,0.732142857142857,1,5
"ecoli",46,10,1000,6,"old",0.1,0.978723404255319,0.821428571428571,2,5
"ecoli",46,10,1000,6,"br",0.1,0.978723404255319,0.821428571428571,2,5
"ecoli",46,10,1000,6,"reiter",0.1,0.978723404255319,0.821428571428571,2,5
"ecoli",46,10,1000,7,"old",0.1,1,0.554545454545455,1,6
"ecoli",46,10,1000,7,"br",0.1,1,0.554545454545455,1,6
"ecoli",46,10,1000,7,"reiter",0.1,1,0.554545454545455,1,3
"ecoli",46,10,1000,8,"old",0.1,0.988636363636364,0.776785714285714,1,1
"ecoli",46,10,1000,8,"br",0.1,0.988636363636364,0.776785714285714,1,1
"ecoli",46,10,1000,8,"reiter",0.1,0.988636363636364,0.776785714285714,1,1
"ecoli",46,10,1000,9,"old",0.1,1,0.815789473684211,1,1
"ecoli",46,10,1000,9,"br",0.1,1,0.815789473684211,1,1
"ecoli",46,10,1000,9,"reiter",0.1,1,0.815789473684211,1,1
"ecoli",46,10,1000,10,"old",0.1,1,0.618181818181818,0,0
"ecoli",46,10,1000,10,"br",0.1,1,0.618181818181818,0,0
"ecoli",46,10,1000,10,"reiter",0.1,1,0.618181818181818,0,0
"ecoli",46,10,1000,1,"old",0.5,1,0.741379310344828,2,22
"ecoli",46,10,1000,1,"br",0.5,1,0.741379310344828,2,22
"ecoli",46,10,1000,1,"reiter",0.5,1,0.741379310344828,2,22
"ecoli",46,10,1000,2,"old",0.5,0.965909090909091,0.772727272727273,4,8
"ecoli",46,10,1000,2,"br",0.5,0.965909090909091,0.772727272727273,4,8
"ecoli",46,10,1000,2,"reiter",0.5,0.965909090909091,0.772727272727273,4,8
"ecoli",46,10,1000,3,"old",0.5,0.987654320987654,0.689655172413793,2,18
"ecoli",46,10,1000,3,"br",0.5,0.987654320987654,0.689655172413793,2,18
"ecoli",46,10,1000,3,"reiter",0.5,0.987654320987654,0.689655172413793,2,18
"ecoli",46,10,1000,4,"old",0.5,0.954545454545455,0.84,3,9
"ecoli",46,10,1000,4,"br",0.5,0.954545454545455,0.84,3,9
"ecoli",46,10,1000,4,"reiter",0.5,0.954545454545455,0.84,3,9
"ecoli",46,10,1000,5,"old",0.5,0.989247311827957,0.821428571428571,2,14
"ecoli",46,10,1000,5,"br",0.5,0.989247311827957,0.821428571428571,2,14
"ecoli",46,10,1000,5,"reiter",0.5,0.989247311827957,0.821428571428571,2,14
"ecoli",46,10,1000,6,"old",0.5,0.968085106382979,0.78448275862069,3,9
"ecoli",46,10,1000,6,"br",0.5,0.968085106382979,0.78448275862069,3,7
"ecoli",46,10,1000,6,"reiter",0.5,0.968085106382979,0.78448275862069,3,7
"ecoli",46,10,1000,7,"old",0.5,1,0.692982456140351,1,2
"ecoli",46,10,1000,7,"br",0.5,1,0.692982456140351,1,2
"ecoli",46,10,1000,7,"reiter",0.5,1,0.692982456140351,1,2
"ecoli",46,10,1000,8,"old",0.5,1,0.809090909090909,0,0
"ecoli",46,10,1000,8,"br",0.5,1,0.809090909090909,0,0
"ecoli",46,10,1000,8,"reiter",0.5,1,0.809090909090909,0,0
"ecoli",46,10,1000,9,"old",0.5,0.974358974358974,0.666666666666667,2,16
"ecoli",46,10,1000,9,"br",0.5,0.974358974358974,0.666666666666667,2,16
"ecoli",46,10,1000,9,"reiter",0.5,0.974358974358974,0.666666666666667,2,16
"ecoli",46,10,1000,10,"old",0.5,0.98876404494382,0.8,1,12
"ecoli",46,10,1000,10,"br",0.5,0.98876404494382,0.8,1,12
"ecoli",46,10,1000,10,"reiter",0.5,0.98876404494382,0.8,1,12
"ecoli",46,10,1000,1,"old",0.9,0.978947368421053,0.830357142857143,3,6
"ecoli",46,10,1000,1,"br",0.9,0.978947368421053,0.830357142857143,3,6
"ecoli",46,10,1000,1,"reiter",0.9,0.978947368421053,0.830357142857143,3,6
"ecoli",46,10,1000,2,"old",0.9,1,0.754385964912281,0,13
"ecoli",46,10,1000,2,"br",0.9,1,0.754385964912281,0,13
"ecoli",46,10,1000,2,"reiter",0.9,1,0.754385964912281,0,13
"ecoli",46,10,1000,3,"old",0.9,0.97752808988764,0.820754716981132,4,7
"ecoli",46,10,1000,3,"br",0.9,0.97752808988764,0.820754716981132,4,7
"ecoli",46,10,1000,3,"reiter",0.9,0.97752808988764,0.820754716981132,4,7
"ecoli",46,10,1000,4,"old",0.9,0.986666666666667,0.660714285714286,3,11
"ecoli",46,10,1000,4,"br",0.9,0.986666666666667,0.660714285714286,3,21
"ecoli",46,10,1000,4,"reiter",0.9,0.986666666666667,0.660714285714286,3,19
"ecoli",46,10,1000,5,"old",0.9,1,0.842592592592593,1,14
"ecoli",46,10,1000,5,"br",0.9,1,0.842592592592593,1,10
